Title,Location,No of Bedrooms,No of Bathrooms,Description,Price
4 Bed House with En Suite at Kerarapon,"Kerarapon, Karen",0,0,Impressive secure and furnished 4 bedrooms doub...,300000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Modern 5-Bedroom All Ensuite Mansion with DSQ f...,650000.0
3 Bed Townhouse with Swimming Pool at Fivestar Paradise,"Fivestar Paradise, Kiambu Road",0,0,Newly built 3 bedroom villa available for rent,270000.0
4 Bed Townhouse with En Suite in Kiambu Road,"Kiambu Rd Nairobi, Kiambu Road",0,0,A 4bdrm townhouse to let in kiambu rd.,285000.0
5 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",0,0,AN EXECUTIVE 5BEDROOM DOUBLE STOREY FOR RENT IN...,600000.0
5 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",0,0,AN EXECUTIVE TOWN HOUSE 5BEDROOM FOR RENT IN LO...,850000.0
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,0,0,4 bedrooms Town house for rent ridgeway,300000.0
1 Bed House with En Suite at Karen,"Karen, Karen",0,0,A lovely one bedroom fully furnished cottage,120000.0
3 Bed House with En Suite at Kitengela,Kitengela,0,0,3 Bedroom Maisonettes to Let at Kitengela for K...,45000.0
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,The property is  Nestled in serene suburb of sp...,520000.0
4 Bed House with En Suite in Lavington,Lavington,0,0,Elegant and Spacious Four-Bedroom House for Ren...,330000.0
3 Bed House with En Suite at Old Muthaiga Nairobi City,"0402J, Old Muthaiga Nairobi City, Muthaiga",0,0,3 bedroom Bungalow in Prestigious Old Muthaiga...,350000.0
5 Bed House with En Suite at Loresho,"Loresho, Westlands",0,0,Discover Unmatched Elegance: 5-Bedroom Luxury S...,580000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,Modern 4-Bedroom Townhouse to Let on Kiambu Rd,390000.0
2 Bed Townhouse with En Suite in Karen,Karen,0,0,Luxurious Newly Built 2 Bedrooms Cottage,300000.0
4 Bed House with En Suite in Lavington,Lavington,0,0,Comfy and Stylish Four-Bedroom House for Rent i...,350000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,0,0,4 Bedrooms Townhouse For Rent in Lavington in a...,310000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,A LUXURIOUS FOUR BEDROOM TOWNHOUSE OFF KIAMBU R...,230000.0
3 Bed Townhouse with En Suite at Ridgeways,Ridgeways,0,0,"3br Townhouse, Ridgeways",200000.0
4 Bed Townhouse with En Suite at Paradise Lost,"Paradise Lost, Runda, Westlands",0,0,"4br Townhouse, Paradise Lost",325000.0
3 Bed House with En Suite at Acacia,"Acacia, Kitengela",0,0,𝐄𝐱𝐪𝐮𝐢𝐬𝐢𝐭𝐞 𝟑 𝐁𝐞𝐝𝐫𝐨𝐨𝐦 𝐁𝐮𝐧𝐠𝐚𝐥𝐨𝐰 𝐅𝐨𝐫 𝐒𝐚𝐥𝐞 𝐢𝐧 𝐊𝐢𝐭𝐞𝐧𝐠...,45000.0
3 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,TO LET: Beautiful 3-Bedroom Cottage in Spring V...,200000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,0,0,A Spacious 5 Bedrooms Townhouse For Rent in Lav...,300000.0
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,0,0,A SUPERB FOUR BEDROOM VILLA IN A COMMUNAL LIVIN...,300000.0
5 Bed Villa with En Suite in Lavington,Lavington,0,0,"5 Bedrooms Plus DsQ,New House",400000.0
5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,0,0,5 Bedroom + DSQ Townhouse for Rent – Kileleshwa,350000.0
3 Bed Townhouse with En Suite at Kiambu Road,"Kiambu Road, Runda, Westlands",0,0,Executive 3 bedroom townhouse all ensuite with...,210000.0
5 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,Elegant 5-Bedroom House for Rent in Spring Vall...,400000.0
1 Bed House in Ridgeways,Ridgeways,0,0,Mordern 1 Bedroom House to Rent at Ridgeways,120000.0
10 Bed House with En Suite in Runda,"Runda, Westlands",0,0,10 Bedroom House for Rent in Runda,1993000.0
3 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",0,0,Charming 3 Bedroom Cottage To Let Off Peponi Ro...,200000.0
2 Bed House with En Suite at Gigiri Area,"Gigiri Area, Runda, Westlands",0,0,RUNDA ESTATE: 2 Bedroom Furnished and Serviced...,140000.0
4 Bed Townhouse with En Suite at Milimani,"Milimani, Dennis Pritt",0,0,Milimani : 4 Bedroom Old Model Maisonette in a...,120000.0
5 Bed House with En Suite at Gigiri,"Gigiri, Westlands",0,0,Gigiri : Commercial Space / Own Compound Office...,500000.0
4 Bed Townhouse with En Suite at Milimani,"Kilimani, Milimani, Dennis Pritt",0,0,Kilimani - Milimani – Denis Pritt - 4 Bedroom U...,120000.0
2 Bed Townhouse with En Suite at Lavington,"Kileleleshwa, Lavington, Kileleshwa",0,0,Kileleshwa : 3 Bedroom Furnished / Unfurnished...,200000.0
5 Bed House with En Suite in Loresho,"Loresho, Westlands",0,0,Loresho : 5 & 6 Bedroom Ambassadorial Mansion O...,500000.0
4 Bed House with En Suite at Kitisuru,"Peponi Road, Kitisuru, Spring Valley, Westlands",0,0,Spring Valley : 4-Bedroom All-Ensuite Town Hous...,500000.0
3 Bed House with En Suite at Tigoni,"Tigoni, Limuru",0,0,Tigoni : 3 Bedroom NEW Luxurious All Ensuite  C...,250000.0
5 Bed Townhouse with En Suite at Lavington,Lavington,0,0,Introducing a Masterpiece of Luxury Living – Br...,400000.0
3 Bed House with Staff Quarters in Kitengela,Kitengela,0,0,3 Bedrooms with servant quarter to let in Kiten...,45000.0
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,0,0,4 bedrooms town house for Rent Ridgeways,300000.0
2 Bed House with En Suite at Runda,"Runda, Westlands",0,0,Elegant 2-Bedroom Furnished Cottage in Runda –...,233000.0
4 Bed Townhouse with En Suite at Brookside,"0402N, Brookside, Westlands",0,0,4-bedroom townhouse in brookside,270000.0
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Stunning Four-Bedroom House for Rent in Kitisur...,520000.0
5 Bed House with En Suite in Kyuna,"Kyuna, Westlands",0,0,Luxurious Five Bedroom House for Rent in Kyuna,400000.0
